TIC m_TIC RAJ2000 DEJ2000 Tmag BJD0 Per Morph Sectors Transit_Times tpeak
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1498.6487808 1498.6487808
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1499.9941264 1499.9941264
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1501.339472 1501.339472
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1502.6848175999999 1502.6848175999999
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1504.0301632 1504.0301632
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1505.3755088 1505.3755088
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1506.7208544 1506.7208544
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1508.0662 1508.0662
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1509.4115456 1509.4115456
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1510.7568912 1510.7568912
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1512.1022368 1512.1022368
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1513.4475823999999 1513.4475823999999
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1514.7929279999998 1514.7929279999998
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1492.9516285999998 1492.9516285999998
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1494.5136478 1494.5136478
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1496.075667 1496.075667
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1497.6376862 1497.6376862
