loss_s0993 accuracy_s0993 auc_s0993 precision_s0993 recall_s0993 f1_score_s0993 val_loss_s0993 val_accuracy_s0993 val_auc_s0993 val_precision_s0993 val_recall_s0993 val_f1_score_s0993 test_loss_s0993 test_accuracy_s0993 test_auc_s0993 test_precision_s0993 test_recall_s0993 test_f1_score_s0993 test_f_score_s0993
0.03982069715857506 0.9934728741645813 0.999028205871582 0.9953820109367371 0.9915000200271606 0.9934372901916504 0.04469824954867363 0.9952162504196167 0.9986905455589294 0.9912698268890381 0.9991999864578247 0.9952191114425659 0.04415416717529297 0.9936229586601257 0.9991576075553894 0.9896825551986694 0.9976000189781189 0.9936255216598511 0.9936255216598511
0.04107072204351425 0.9929247498512268 0.9989065527915955 0.9939372539520264 0.9918500185012817 0.9928925633430481 0.035533297806978226 0.9954155683517456 0.9992749691009521 0.9955982565879822 0.995199978351593 0.9953990578651428 0.035939350724220276 0.995017945766449 0.9986572861671448 0.9967884421348572 0.9932000041007996 0.9949909448623657 0.9949909448623657
0.039428770542144775 0.9937219619750977 0.9989870190620422 0.9951855540275574 0.9922000169754028 0.993690550327301 0.0337599478662014 0.9964122176170349 0.9992652535438538 0.9952114820480347 0.9976000189781189 0.9964043498039246 0.03305012732744217 0.9956157803535461 0.9993930459022522 0.9959967732429504 0.995199978351593 0.9955981969833374 0.9955981969833374
0.040661945939064026 0.9933732151985168 0.9987618327140808 0.9947848916053772 0.9919000267982483 0.9933403730392456 0.034289710223674774 0.9964122176170349 0.9990859031677246 0.9952114820480347 0.9976000189781189 0.9964043498039246 0.03372517600655556 0.9952172040939331 0.9994130730628967 0.9967897534370422 0.9936000108718872 0.995192289352417 0.995192289352417
0.03879110887646675 0.9939212799072266 0.9990314841270447 0.9959333539009094 0.9918500185012817 0.9938874840736389 0.03425946831703186 0.9966115355491638 0.9989064335823059 0.9952133893966675 0.9980000257492065 0.9966048002243042 0.033498991280794144 0.9958150386810303 0.9992192387580872 0.9959983825683594 0.9955999851226807 0.9957991242408752 0.9957991242408752
0.03843935579061508 0.9939960241317749 0.9990895390510559 0.9959837198257446 0.9919499754905701 0.9939627647399902 0.032082926481962204 0.9968108534812927 0.9994244575500488 0.9960063695907593 0.9976000189781189 0.9968026280403137 0.032090332359075546 0.9962136149406433 0.9994181990623474 0.9975932836532593 0.9947999715805054 0.9961946606636047 0.9961946606636047
0.038892053067684174 0.9937468767166138 0.998870849609375 0.9954839944839478 0.9919499754905701 0.9937138557434082 0.03647564351558685 0.9952162504196167 0.9988142251968384 0.9955964684486389 0.9947999715805054 0.9951980113983154 0.03632766008377075 0.9940215349197388 0.9992278814315796 0.9971819519996643 0.9908000230789185 0.9939807057380676 0.9939807057380676
0.038836486637592316 0.9936970472335815 0.9990299940109253 0.9952846765518188 0.9920499920845032 0.9936646819114685 0.03708700090646744 0.9958142042160034 0.9988784790039062 0.9952057600021362 0.996399998664856 0.9958025217056274 0.03537078574299812 0.9952172040939331 0.9988501667976379 0.9967897534370422 0.9936000108718872 0.995192289352417 0.995192289352417
0.03992598503828049 0.9936472177505493 0.9988889098167419 0.9948373436927795 0.9923999905586243 0.9936171770095825 0.03427724167704582 0.9964122176170349 0.9990397691726685 0.9948166012763977 0.9980000257492065 0.9964057207107544 0.033769454807043076 0.9956157803535461 0.9991827607154846 0.9955999851226807 0.9955999851226807 0.9955999851226807 0.9955999851226807
0.03831849992275238 0.9939960241317749 0.9989579319953918 0.9955856800079346 0.9923499822616577 0.993965208530426 0.03920301795005798 0.996212899684906 0.9985225200653076 0.9936330914497375 0.9987999796867371 0.9962098002433777 0.037090521305799484 0.9952172040939331 0.9989882707595825 0.9928343892097473 0.9976000189781189 0.9952115416526794 0.9952115416526794
0.03833848983049393 0.9938465356826782 0.9989877343177795 0.9953357577323914 0.9922999739646912 0.9938156008720398 0.033679403364658356 0.9966115355491638 0.999090850353241 0.9952133893966675 0.9980000257492065 0.9966048002243042 0.03268633037805557 0.9958150386810303 0.9991852641105652 0.9959983825683594 0.9955999851226807 0.9957991242408752 0.9957991242408752
0.03678036481142044 0.994020938873291 0.9990957379341125 0.9954864382743835 0.9925000071525574 0.993990957736969 0.035388488322496414 0.9952162504196167 0.999262273311615 0.9955964684486389 0.9947999715805054 0.9951980113983154 0.03672816976904869 0.9948186278343201 0.9986397624015808 0.9967871308326721 0.9927999973297119 0.9947896003723145 0.9947896003723145
