loss_s0131 accuracy_s0131 val_auc_s0131 precision_s0131 recall_s0131 f1_score_s0131 val_loss_s0131 val_accuracy_s0131 val_val_auc_s0131 val_precision_s0131 val_recall_s0131 val_f1_score_s0131
0.014352194964885712 0.9975578188896179 0.9997382164001465 0.9980729818344116 0.9970250129699707 0.9975486993789673 0.017509499564766884 0.9977073073387146 0.9994837045669556 0.9976004958152771 0.9977999925613403 0.9977002739906311
0.014522849582135677 0.9973834156990051 0.9997985363006592 0.9979725480079651 0.9967749714851379 0.9973734021186829 0.015383909456431866 0.9978070259094238 0.9994701743125916 0.9976009726524353 0.9980000257492065 0.9978004693984985
0.015093507245182991 0.9972712397575378 0.999677836894989 0.9975237250328064 0.996999979019165 0.9972617626190186 0.01615520752966404 0.9982057213783264 0.9995112419128418 0.9980008006095886 0.9983999729156494 0.9982003569602966
0.013996444642543793 0.9975079894065857 0.9997843503952026 0.9980229139328003 0.9969750046730042 0.997498631477356 0.015723329037427902 0.9979066848754883 0.9994445443153381 0.9983984231948853 0.9973999857902527 0.9978989958763123
0.013235850259661674 0.9979192018508911 0.9997683167457581 0.9981989860534668 0.9976249933242798 0.9979119300842285 0.015994630753993988 0.9978070259094238 0.9991635084152222 0.9979991912841797 0.9976000189781189 0.9977995753288269
0.013972759246826172 0.9974830746650696 0.9997009038925171 0.997848391532898 0.9970999956130981 0.9974740743637085 0.015169145539402962 0.9979066848754883 0.9994433522224426 0.9979996085166931 0.9977999925613403 0.9978998303413391
0.013122416101396084 0.9978319406509399 0.9997827410697937 0.9982984066009521 0.9973499774932861 0.9978240132331848 0.01572800986468792 0.9979066848754883 0.999457836151123 0.9970054030418396 0.9987999796867371 0.9979018568992615
0.012709726579487324 0.9980188608169556 0.9998098611831665 0.9983987808227539 0.9976249933242798 0.9980117678642273 0.01399229560047388 0.998106062412262 0.9995739459991455 0.998598575592041 0.9976000189781189 0.9980989694595337
0.013174972496926785 0.997620165348053 0.9997809529304504 0.9978489875793457 0.9973750114440918 0.997611939907074 0.014273900538682938 0.998106062412262 0.999565839767456 0.9987983107566833 0.9973999857902527 0.998098611831665
0.012563368305563927 0.9978818297386169 0.9998008012771606 0.9982985258102417 0.9974499940872192 0.9978740811347961 0.013480491936206818 0.9984050989151001 0.9995772242546082 0.9985994100570679 0.998199999332428 0.9983996152877808
0.01269251573830843 0.9979067444801331 0.9997830390930176 0.9983235597610474 0.9974750280380249 0.9978991150856018 0.01423903089016676 0.998106062412262 0.9994750618934631 0.9978013038635254 0.9983999729156494 0.9981005191802979
0.01216908823698759 0.9978818297386169 0.9998988509178162 0.9983983039855957 0.9973499774932861 0.997873842716217 0.016028018668293953 0.997308611869812 0.9995437264442444 0.9962083697319031 0.9983999729156494 0.9973029494285583
